Comparate_1,Comparate_2,compID
dm12279_01h,dm11037_01h,dm12279_High_vs_dm11037_Low_01h
dm12279_01h,dm11255_01h,dm12279_High_vs_dm11255_Low_01h
dm12272_01h,dm11037_01h,dm12272_High_vs_dm11037_Low_01h
dm12272_01h,dm11255_01h,dm12272_High_vs_dm11255_Low_01h
dm12279_01h,dm12272_01h,dm12279_High_vs_dm12272_High_01h
dm11037_01h,dm11255_01h,dm11037_Low_vs_dm11255_Low_01h
dm12279_38d,dm11037_38d,dm12279_High_vs_dm11037_Low_38d
dm12279_38d,dm11255_38d,dm12279_High_vs_dm11255_Low_38d
dm12272_38d,dm11037_38d,dm12272_High_vs_dm11037_Low_38d
dm12272_38d,dm11255_38d,dm12272_High_vs_dm11255_Low_38d
dm12279_38d,dm12272_38d,dm12279_High_vs_dm12272_High_38d
dm11037_38d,dm11255_38d,dm11037_Low_vs_dm11255_Low_38d

