sample_species,sampleID,total_reads_PE,uniq_mapped_Dmel_PE,uniq_mapped_Dsim_PE,prcnt_uniq_mapped_Dmel_PE,prcnt_uniq_mapped_Dsim_PE
mel,mel_153_f_etoh_rep1,13938590,13034843,13370922,0.9351622366,0.9592736425
mel,mel_153_f_etoh_rep2,18747828,16841895,17594344,0.8983384635,0.9384737261
mel,mel_153_f_etoh_rep3,16988086,15672711,16170684,0.9225707357,0.9518838085
mel,mel_153_f_noEtoh_rep1,14344100,13497720,13745208,0.9409945553,0.9582481996
mel,mel_153_f_noEtoh_rep2,18371758,16838664,17416876,0.9165515897,0.9480244623
mel,mel_153_f_noEtoh_rep3,19477536,17803954,18376417,0.9140762979,0.9434672332
mel,mel_153_m_etoh_rep1,16582000,14566032,15366272,0.8784243155,0.9266838741
mel,mel_153_m_etoh_rep2,17271538,16343425,16586694,0.9462634422,0.9603484067
mel,mel_153_m_etoh_rep3,18189938,16539490,17085227,0.909265881,0.9392680173
mel,mel_153_m_noEtoh_rep1,20428118,18454531,19209196,0.9033887018,0.9403311651
mel,mel_153_m_noEtoh_rep2,25217914,23685911,24003353,0.9392494161,0.9518373724
mel,mel_153_m_noEtoh_rep3,14181038,12344211,13089576,0.8704730218,0.9230337018
mel,mel_301_f_etoh_rep1,13719504,12929153,13160230,0.9423921594,0.9592351152
mel,mel_301_f_etoh_rep2,14213710,13351441,13596993,0.9393354022,0.956611117
mel,mel_301_f_etoh_rep3,15601094,14219869,14752446,0.9114661446,0.9456033019
mel,mel_301_f_noEtoh_rep1,19324666,17648993,18259146,0.9132883849,0.9448621777
mel,mel_301_f_noEtoh_rep2,35929718,33864021,34353208,0.942507286,0.9561223943
mel,mel_301_f_noEtoh_rep3,12629702,12048097,12187216,0.9539494281,0.9649646524
mel,mel_301_m_etoh_rep1,23769856,21903829,22522953,0.9214960747,0.9475426776
mel,mel_301_m_etoh_rep2,15738214,14620901,14941387,0.9290063663,0.9493699222
mel,mel_301_m_etoh_rep3,12548530,11387904,11825847,0.907509007,0.9424089515
mel,mel_301_m_noEtoh_rep1,18546154,16933317,17457803,0.9130365789,0.9413166201
mel,mel_301_m_noEtoh_rep2,12892500,11689496,12149105,0.9066896258,0.9423389568
mel,mel_301_m_noEtoh_rep3,19113324,17949972,18293326,0.939133978,0.9570980955
sim,sim_11_f_etoh_rep1,19057688,17115702,18060966,0.8980996016,0.947699742
sim,sim_11_f_etoh_rep2,17695630,15568140,16573706,0.8797731417,0.93659881
sim,sim_11_f_etoh_rep3,16359244,14839858,15525094,0.9071237033,0.9490104799
sim,sim_11_f_noEtoh_rep1,18322514,16145111,17150305,0.8811624322,0.9360235719
sim,sim_11_f_noEtoh_rep2,20165884,17976652,18924549,0.8914388281,0.9384438094
sim,sim_11_f_noEtoh_rep3,14050872,12885232,13433454,0.9170414477,0.9560583856
sim,sim_11_m_etoh_rep1,19977500,17795892,18800188,0.8907967463,0.9410681016
sim,sim_11_m_etoh_rep2,19694742,17564052,18565242,0.8918142721,0.9426496676
sim,sim_11_m_etoh_rep3,14119798,12394383,13241430,0.8778017221,0.9377917446
sim,sim_11_m_noEtoh_rep1,15577086,14050416,14749860,0.9019925806,0.9468946888
sim,sim_11_m_noEtoh_rep2,16615504,14221326,15248539,0.855906989,0.9177295495
sim,sim_11_m_noEtoh_rep3,15471230,14016171,14703798,0.9059506581,0.950396187
sim,sim_12_f_etoh_rep1,14422582,13032401,13719142,0.9036108098,0.9512264864
sim,sim_12_f_etoh_rep2,13558158,12444358,12992049,0.9178501976,0.9582458768
sim,sim_12_f_etoh_rep3,20897394,18419811,19582702,0.8814405758,0.9370882321
sim,sim_12_f_noEtoh_rep1,14878330,13335109,14063350,0.8962772704,0.9452236911
sim,sim_12_f_noEtoh_rep2,18481138,16896001,17602511,0.9142294701,0.9524581765
sim,sim_12_f_noEtoh_rep3,17984412,16452487,17179754,0.9148192891,0.9552580312
sim,sim_12_m_etoh_rep1,16992982,15107783,15994497,0.8890601426,0.9412413313
sim,sim_12_m_etoh_rep2,17175782,15770462,16429654,0.9181801446,0.9565592996
sim,sim_12_m_etoh_rep3,15355984,14228614,14750908,0.9265843205,0.9605967289
sim,sim_12_m_noEtoh_rep1,14517548,13442731,13923607,0.9259642882,0.9590880636
sim,sim_12_m_noEtoh_rep2,14745618,13683943,14127713,0.928000644,0.9580956865
sim,sim_12_m_noEtoh_rep3,15963644,15021743,15450801,0.9409971182,0.9678743149
