sample_species,sampleID,total_reads_Input_PE,uniq_mapped_Input_PE,total_reads_K4_PE,uniq_mapped_K4_PE,total_reads_K27_PE,uniq_mapped_K27_PE,prcnt_uniq_mapped_Input_PE,prcnt_uniq_mapped_K4_PE,prcnt_uniq_mapped_K27_PE
r301,mel_r301_f_etoh_rep1,15145538,12438064,15998355,13974541,16123743,12693709,0.8212361951,0.8734986191,0.78726813
r301,mel_r301_f_etoh_rep2,14740401,12134826,16724825,14693484,16134735,12764613,0.8232358129,0.8785433629,0.7911262875
r301,mel_r301_f_etoh_rep3,11857468,9599702,14947155,13226882,28515041,22246771,0.8095912213,0.8849096701,0.7801767145
r301,mel_r301_f_noEtoh_rep1,15139750,12263458,15604171,13225263,14422703,11263708,0.8100172064,0.8475466592,0.7809706683
r301,mel_r301_f_noEtoh_rep2,17060020,14079209,16055488,14274486,17129287,13668488,0.8252750583,0.8890720731,0.7979601253
r301,mel_r301_f_noEtoh_rep3,15753049,12921087,15176940,13509608,17395643,13646161,0.8202276905,0.8901404367,0.7844585567
r301,mel_r301_m_etoh_rep1,15239416,12198346,16604125,14242804,16560639,12808873,0.8004470775,0.857787086,0.7734528239
r301,mel_r301_m_etoh_rep2,9908735,7787121,15104657,13026015,15252778,11698167,0.7858844747,0.8623840316,0.7669532068
r301,mel_r301_m_etoh_rep3,12821754,10037973,13709984,11839739,14768197,11066094,0.7828861012,0.86358518,0.7493192297
r301,mel_r301_m_noEtoh_rep1,14210290,11097718,17903860,15116781,18006550,13729228,0.7809635131,0.8443308315,0.7624574391
r301,mel_r301_m_noEtoh_rep2,13588421,10795463,16101461,13945200,16444309,12757360,0.7944604454,0.8660828977,0.7757917952
r301,mel_r301_m_noEtoh_rep3,17301821,13576358,16035382,13958496,18468485,13941118,0.7846779827,0.87048104,0.7548598599
sz11,sim_sz11_f_etoh_rep1,20192257,16489822,18160998,16711491,17127796,15272989,0.816640854,0.9201857189,0.8917077831
sz11,sim_sz11_f_etoh_rep2,16644347,13594617,18497931,16839029,18116545,16149850,0.8167708232,0.910319592,0.8914420492
sz11,sim_sz11_f_etoh_rep3,15956103,13150019,16237977,14998980,16533752,14721684,0.8241372596,0.9236975764,0.8904018882
sz11,sim_sz11_f_noEtoh_rep1,16541860,13638281,17952992,16678231,15893289,14231187,0.8244708273,0.9289945097,0.8954211428
sz11,sim_sz11_f_noEtoh_rep2,12995902,10367259,15040425,13764746,13157226,11689245,0.7977329315,0.9151833143,0.8884277735
sz11,sim_sz11_f_noEtoh_rep3,12484091,10337281,15118265,14161831,15965183,14325558,0.8280363384,0.9367365237,0.8972999558
sz11,sim_sz11_m_etoh_rep1,12487231,10054570,15994201,14672754,12782384,11182507,0.8051881158,0.9173796178,0.8748373543
sz11,sim_sz11_m_etoh_rep2,10541491,8594433,15454081,14293374,17594024,15639037,0.8152957679,0.9248931722,0.8888834641
sz11,sim_sz11_m_etoh_rep3,14710345,11704107,13630119,12615240,13483405,11805228,0.7956378317,0.9255414424,0.875537596
sz11,sim_sz11_m_noEtoh_rep1,14616914,11688283,17833958,16611916,13680059,12121892,0.7996409502,0.9314766806,0.8860993947
sz11,sim_sz11_m_noEtoh_rep2,14008912,10998371,15183208,13642021,14092848,12375711,0.7850981575,0.898493981,0.8781554303
sz11,sim_sz11_m_noEtoh_rep3,11754011,9570861,17919943,16535801,14825287,13108223,0.8142634034,0.9227596873,0.8841800499
