sample_species,sampleID,total_reads_SE,uniq_mapped_Dmel_SE,uniq_mapped_Dsim_SE,prcnt_uniq_mapped_Dmel_SE,prcnt_uniq_mapped_Dsim_SE
mel,mel_153_f_etoh_rep1,170770,91212,92664,0.5341219184,0.5426245828
mel,mel_153_f_etoh_rep2,545296,226220,229951,0.4148572518,0.4216994073
mel,mel_153_f_etoh_rep3,265462,179067,180630,0.674548523,0.6804363713
mel,mel_153_f_noEtoh_rep1,259120,147624,149584,0.5697128743,0.5772769373
mel,mel_153_f_noEtoh_rep2,365716,184325,186872,0.5040113093,0.5109757298
mel,mel_153_f_noEtoh_rep3,420012,221390,224463,0.5271039875,0.5344204451
mel,mel_153_m_etoh_rep1,445926,226379,230528,0.5076604638,0.5169646982
mel,mel_153_m_etoh_rep2,384497,233013,234946,0.6060203331,0.6110476805
mel,mel_153_m_etoh_rep3,374653,174801,177611,0.4665677307,0.4740680043
mel,mel_153_m_noEtoh_rep1,617700,290133,295151,0.469698883,0.4778225676
mel,mel_153_m_noEtoh_rep2,920739,385249,390047,0.4184128184,0.42362385
mel,mel_153_m_noEtoh_rep3,404433,158957,161991,0.3930366711,0.4005385317
mel,mel_301_f_etoh_rep1,242311,148233,149154,0.6117468873,0.6155477878
mel,mel_301_f_etoh_rep2,385366,178797,180311,0.4639667225,0.4678954552
mel,mel_301_f_etoh_rep3,309821,182821,184523,0.5900858883,0.5955793829
mel,mel_301_f_noEtoh_rep1,707621,222499,227870,0.3144324434,0.3220226647
mel,mel_301_f_noEtoh_rep2,1257722,456102,460333,0.3626413468,0.3660053653
mel,mel_301_f_noEtoh_rep3,153929,66036,67091,0.4290029819,0.4358567911
mel,mel_301_m_etoh_rep1,725389,389643,392623,0.5371504117,0.5412585523
mel,mel_301_m_etoh_rep2,469262,226395,228328,0.482449037,0.486568271
mel,mel_301_m_etoh_rep3,162012,65283,66595,0.4029516332,0.4110497988
mel,mel_301_m_noEtoh_rep1,348889,277863,278858,0.7964223578,0.7992742677
mel,mel_301_m_noEtoh_rep2,255289,193366,194486,0.7574396077,0.7618267924
mel,mel_301_m_noEtoh_rep3,423198,230388,232074,0.5443976578,0.5483816086
sim,sim_11_f_etoh_rep1,538877,288320,294510,0.5350386081,0.5465254594
sim,sim_11_f_etoh_rep2,380027,200608,205851,0.5278782823,0.5416746705
sim,sim_11_f_etoh_rep3,494859,207240,211923,0.4187859572,0.4282492589
sim,sim_11_f_noEtoh_rep1,410812,270988,276407,0.6596399326,0.6728308813
sim,sim_11_f_noEtoh_rep2,812880,260818,267382,0.320856707,0.3289316996
sim,sim_11_f_noEtoh_rep3,271243,157224,160534,0.5796426083,0.5918456882
sim,sim_11_m_etoh_rep1,675077,403557,412957,0.5977940294,0.6117183669
sim,sim_11_m_etoh_rep2,411271,219561,224506,0.5338596692,0.5458833713
sim,sim_11_m_etoh_rep3,281099,158999,162895,0.5656334601,0.5794933458
sim,sim_11_m_noEtoh_rep1,449796,230551,236321,0.5125679197,0.5253959573
sim,sim_11_m_noEtoh_rep2,402635,252101,258240,0.6261278826,0.6413749426
sim,sim_11_m_noEtoh_rep3,311846,192333,196566,0.6167563477,0.6303303554
sim,sim_12_f_etoh_rep1,398050,140735,144886,0.3535611104,0.3639894486
sim,sim_12_f_etoh_rep2,367968,264950,269048,0.7200354379,0.7311722759
sim,sim_12_f_etoh_rep3,558400,288001,295325,0.5157611032,0.528877149
sim,sim_12_f_noEtoh_rep1,389128,233465,238795,0.5999696758,0.6136669682
sim,sim_12_f_noEtoh_rep2,814054,481631,489936,0.591645026,0.6018470519
sim,sim_12_f_noEtoh_rep3,324980,172879,176675,0.5319681211,0.5436488399
sim,sim_12_m_etoh_rep1,328528,196818,201936,0.5990904885,0.6146690693
sim,sim_12_m_etoh_rep2,609581,269140,275605,0.4415163858,0.4521220314
sim,sim_12_m_etoh_rep3,256238,126537,129419,0.4938260523,0.5050734083
sim,sim_12_m_noEtoh_rep1,334032,186062,189583,0.5570184892,0.5675593955
sim,sim_12_m_noEtoh_rep2,717509,195122,201186,0.2719436272,0.2803950891
sim,sim_12_m_noEtoh_rep3,256286,108824,111434,0.4246193705,0.4348033057
