sampleID	sample	strain	batch	sampleType	newBatch	sampleType_batch	strainNoPD1074	strain_w_poolPD
b1_aos_122	aos_122	RB2011	1	strain	b1	strain_b1	RB2011	RB2011
b1_aos_127	aos_127	CX11314	1	strain	b1	strain_b1	CX11314	CX11314
b1_aos_129	aos_129	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_aos_142	aos_142	CB4856	1	strain	b1	strain_b1	CB4856	CB4856
b1_aos_145	aos_145	CB4856	1	strain	b1	strain_b1	CB4856	CB4856
b1_aos_149	aos_149	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_aos_25	aos_25	CX11314	1	strain	b1	strain_b1	CX11314	CX11314
b1_aos_27	aos_27	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_aos_32	aos_32	RB2011	1	strain	b1	strain_b1	RB2011	RB2011
b1_aos_43	aos_43	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_aos_46	aos_46	DL238	1	strain	b1	strain_b1	DL238	DL238
b1_aos_48	aos_48	N2	1	strain	b1	strain_b1	N2	N2
b1_aos_50	aos_50	DL238	1	strain	b1	strain_b1	DL238	DL238
b1_aos_54	aos_54	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_aos_58	aos_58	N2	1	strain	b1	strain_b1	N2	N2
b1_aos_65	aos_65	DL238	1	strain	b1	strain_b1	DL238	DL238
b1_aos_67	aos_67	N2	1	strain	b1	strain_b1	N2	N2
b1_aos_76	aos_76	CX11314	1	strain	b1	strain_b1	CX11314	CX11314
b1_aos_78	aos_78	PD1074	1	PD1074	b1	PD1074_b1		PD1074
b1_pool_pd1074_b1_01			1	pool_pd1074	b1	pool_pd1074_b1		pool_pd1074
b1_pool_pd1074_b1_02			1	pool_pd1074	b1	pool_pd1074_b1		pool_pd1074
b2_aos_102	aos_102	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_103	aos_103	CX11314	2	strain	b2	strain_b2	CX11314	CX11314
b2_aos_106	aos_106	N2	2	strain	b2	strain_b2	N2	N2
b2_aos_107	aos_107	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_108	aos_108	RB2011	2	strain	b2	strain_b2	RB2011	RB2011
b2_aos_124	aos_124	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_130	aos_130	CB4856	2	strain	b2	strain_b2	CB4856	CB4856
b2_aos_165	aos_165	DL238	2	strain	b2	strain_b2	DL238	DL238
b2_aos_167	aos_167	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_170	aos_170	CB4856	2	strain	b2	strain_b2	CB4856	CB4856
b2_aos_173	aos_173	RB2011	2	strain	b2	strain_b2	RB2011	RB2011
b2_aos_174	aos_174	DL238	2	strain	b2	strain_b2	DL238	DL238
b2_aos_175	aos_175	CX11314	2	strain	b2	strain_b2	CX11314	CX11314
b2_aos_188	aos_188	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_192	aos_192	DL238	2	strain	b2	strain_b2	DL238	DL238
b2_aos_199	aos_199	CX11314	2	strain	b2	strain_b2	CX11314	CX11314
b2_aos_200	aos_200	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_53	aos_53	PD1074	2	PD1074	b2	PD1074_b2		PD1074
b2_aos_56	aos_56	N2	2	strain	b2	strain_b2	N2	N2
b2_pool_pd1074_01			2	pool_pd1074	b2	pool_pd1074_b2		pool_pd1074
b2_pool_pd1074_02			2	pool_pd1074	b2	pool_pd1074_b2		pool_pd1074
b3_aos_184	aos_184	VC1265	3	strain	b3	strain_b3	VC1265	VC1265
b3_aos_185	aos_185	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_27	aos_27	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_28	aos_28	KJ550	3	strain	b3	strain_b3	KJ550	KJ550
b3_aos_35	aos_35	RB2550	3	strain	b3	strain_b3	RB2550	RB2550
b3_aos_36	aos_36	RB2347	3	strain	b3	strain_b3	RB2347	RB2347
b3_aos_37	aos_37	RB2347	3	strain	b3	strain_b3	RB2347	RB2347
b3_aos_38	aos_38	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_40	aos_40	RB2550	3	strain	b3	strain_b3	RB2550	RB2550
b3_aos_42	aos_42	VC1265	3	strain	b3	strain_b3	VC1265	VC1265
b3_aos_43	aos_43	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_54	aos_54	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_71	aos_71	RB2550	3	strain	b3	strain_b3	RB2550	RB2550
b3_aos_74	aos_74	RB2347	3	strain	b3	strain_b3	RB2347	RB2347
b3_aos_78	aos_78	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_86	aos_86	KJ550	3	strain	b3	strain_b3	KJ550	KJ550
b3_aos_90	aos_90	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_aos_98	aos_98	VC1265	3	strain	b3	strain_b3	VC1265	VC1265
b3_aos_99	aos_99	PD1074	3	PD1074	b3	PD1074_b3		PD1074
b3_pool_pd1074_01			3	pool_pd1074	b3	pool_pd1074_b3		pool_pd1074
b3_pool_pd1074_02			3	pool_pd1074	b3	pool_pd1074_b3		pool_pd1074
b4_aos_100	aos_100	KJ550	4	strain	b4	strain_b4	KJ550	KJ550
b4_aos_107	aos_107	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_109	aos_109	KJ550	4	strain	b4	strain_b4	KJ550	KJ550
b4_aos_111	aos_111	RB2550	4	strain	b4	strain_b4	RB2550	RB2550
b4_aos_116	aos_116	RB2347	4	strain	b4	strain_b4	RB2347	RB2347
b4_aos_124	aos_124	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_125	aos_125	VC1265	4	strain	b4	strain_b4	VC1265	VC1265
b4_aos_134	aos_134	KJ550	4	strain	b4	strain_b4	KJ550	KJ550
b4_aos_140	aos_140	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_171	aos_171	RB2347	4	strain	b4	strain_b4	RB2347	RB2347
b4_aos_180	aos_180	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_73	aos_73	VC1265	4	strain	b4	strain_b4	VC1265	VC1265
b4_aos_81	aos_81	RB2550	4	strain	b4	strain_b4	RB2550	RB2550
b4_aos_82	aos_82	RB2347	4	strain	b4	strain_b4	RB2347	RB2347
b4_aos_84	aos_84	VC1265	4	strain	b4	strain_b4	VC1265	VC1265
b4_aos_87	aos_87	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_92	aos_92	PD1074	4	PD1074	b4	PD1074_b4		PD1074
b4_aos_93	aos_93	VC1265	4	strain	b4	strain_b4	VC1265	VC1265
b4_aos_95	aos_95	RB2347	4	strain	b4	strain_b4	RB2347	RB2347
b4_aos_96	aos_96	RB2550	4	strain	b4	strain_b4	RB2550	RB2550
b4_pool_pd1074_01			4	pool_pd1074	b4	pool_pd1074_b4		pool_pd1074
b4_pool_pd1074_02			4	pool_pd1074	b4	pool_pd1074_b4		pool_pd1074
b5_aos_179	aos_179	VC2524	5	strain	b5	strain_b5	VC2524	VC2524
b5_aos_181	aos_181	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_187	aos_187	UGT60	5	strain	b5	strain_b5	UGT60	UGT60
b5_aos_196	aos_196	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_26	aos_26	RB2055	5	strain	b5	strain_b5	RB2055	RB2055
b5_aos_33	aos_33	UGT60	5	strain	b5	strain_b5	UGT60	UGT60
b5_aos_39	aos_39	UGT49	5	strain	b5	strain_b5	UGT49	UGT49
b5_aos_41	aos_41	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_43	aos_43	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_45	aos_45	RB2055	5	strain	b5	strain_b5	RB2055	RB2055
b5_aos_47	aos_47	VC2524	5	strain	b5	strain_b5	VC2524	VC2524
b5_aos_49	aos_49	UGT49	5	strain	b5	strain_b5	UGT49	UGT49
b5_aos_51	aos_51	AUM2073	5	strain	b5	strain_b5	AUM2073	AUM2073
b5_aos_54	aos_54	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_66	aos_66	UGT60	5	strain	b5	strain_b5	UGT60	UGT60
b5_aos_70	aos_70	VC2524	5	strain	b5	strain_b5	VC2524	VC2524
b5_aos_75	aos_75	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_78	aos_78	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_79	aos_79	AUM2073	5	strain	b5	strain_b5	AUM2073	AUM2073
b5_aos_83	aos_83	RB2055	5	strain	b5	strain_b5	RB2055	RB2055
b5_aos_87	aos_87	PD1074	5	PD1074	b5	PD1074_b5		PD1074
b5_aos_91	aos_91	AUM2073	5	strain	b5	strain_b5	AUM2073	AUM2073
b5_pool_pd1074_01			5	pool_pd1074	b5	pool_pd1074_b5		pool_pd1074
b5_pool_pd1074_02			5	pool_pd1074	b5	pool_pd1074_b5		pool_pd1074
b6_aos_101	aos_101	UGT49	6	strain	b6	strain_b6	UGT49	UGT49
b6_aos_102	aos_102	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_105	aos_105	VC2524	6	strain	b6	strain_b6	VC2524	VC2524
b6_aos_107	aos_107	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_114	aos_114	RB2055	6	strain	b6	strain_b6	RB2055	RB2055
b6_aos_118	aos_118	RB2055	6	strain	b6	strain_b6	RB2055	RB2055
b6_aos_120	aos_120	AUM2073	6	strain	b6	strain_b6	AUM2073	AUM2073
b6_aos_133	aos_133	UGT49	6	strain	b6	strain_b6	UGT49	UGT49
b6_aos_135	aos_135	AUM2073	6	strain	b6	strain_b6	AUM2073	AUM2073
b6_aos_140	aos_140	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_166	aos_166	UGT49	6	strain	b6	strain_b6	UGT49	UGT49
b6_aos_167	aos_167	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_169	aos_169	AUM2073	6	strain	b6	strain_b6	AUM2073	AUM2073
b6_aos_186	aos_186	RB2055	6	strain	b6	strain_b6	RB2055	RB2055
b6_aos_188	aos_188	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_193	aos_193	UGT60	6	strain	b6	strain_b6	UGT60	UGT60
b6_aos_198	aos_198	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_85	aos_85	VC2524	6	strain	b6	strain_b6	VC2524	VC2524
b6_aos_88	aos_88	UGT49	6	strain	b6	strain_b6	UGT49	UGT49
b6_aos_90	aos_90	PD1074	6	PD1074	b6	PD1074_b6		PD1074
b6_aos_94	aos_94	VC2524	6	strain	b6	strain_b6	VC2524	VC2524
b6_pool_pd1074_01			6	pool_pd1074	b6	pool_pd1074_b6		pool_pd1074
b6_pool_pd1074_02			6	pool_pd1074	b6	pool_pd1074_b6		pool_pd1074
